First_name,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Total_Fights,Win_Percentage
Michael,McBride, ,185.42,155,75,right-handed,8,3,0,11,0.727272727
Ian,McCall,Uncle Creepy,165.1,125,64,right-handed,13,5,1,19,0.710526316
Molly,McCann,Meatball,162.56,125,62,right-handed,7,2,0,9,0.777777778
Charles,McCarthy,Chainsaw,177.8,185,71,right-handed,10,5,0,15,0.666666667
Sean,McCorkle, ,200.66,265,81,right-handed,13,2,0,15,0.866666667
Kris,McCray,Savage,182.88,170,76,right-handed,6,3,0,9,0.666666667
Rob,McCullough,Razor,175.26,155,69,right-handed,19,8,0,27,0.703703704
Justin,McCully,The Insane One,185.42,225,73,right-handed,10,5,2,17,0.647058824
Michael,McDonald,The Black Sniper,180.34,205,NA,right-handed,1,1,0,2,0.5
Michael,McDonald,Mayday,175.26,135,70,right-handed,17,4,0,21,0.80952381
Justin,McElfresh, ,198.12,205,NA,right-handed,6,4,0,10,0.6
Gan,McGee,The Giant,208.28,265,NA,right-handed,13,5,0,18,0.722222222
Court,McGee,The Crusher,180.34,170,75,right-handed,20,7,0,27,0.740740741
Kelly,Velasco,Killer,175.26,135,NA,right-handed,2,1,0,3,0.666666667
Ryan,McGivern, ,182.88,185,NA,right-handed,13,7,0,20,0.65
Jack,McGlaughlin, ,NA,NA,NA,right-handed,1,4,0,5,0.2
Greg,McIntyre, ,177.8,155,NA,right-handed,6,4,0,10,0.6
Tim,McKenzie, ,182.88,185,74,right-handed,13,8,0,21,0.619047619
Sara,McMann, ,167.64,135,66,right-handed,11,5,0,16,0.6875
Tim,Means,The Dirty Bird,187.96,170,75,right-handed,28,10,1,39,0.730769231
Yancy,Medeiros,The Kid,177.8,170,75,right-handed,15,5,0,20,0.75
Anistavio,Medeiros,Gasparzinho,167.64,145,NA,right-handed,15,8,0,23,0.652173913
Miika,Mehmet, ,NA,205,NA,right-handed,3,4,0,7,0.428571429
Jordan,Mein,Young Gun,182.88,170,73,right-handed,31,12,0,43,0.720930233
Brian,Melancon, ,172.72,170,72,right-handed,7,3,0,10,0.7
Gilbert,Melendez,El Nino,175.26,145,73,right-handed,22,7,0,29,0.75862069
Chad,Mendes,Money,167.64,145,66,right-handed,18,4,0,22,0.818181818
Augusto,Mendes,Tanquinho,167.64,135,65,right-handed,6,2,0,8,0.75
Alonzo,Menifield, ,182.88,205,76,right-handed,6,0,0,6,1
Ivan,Menjivar,The Pride of El Salvador,167.64,145,64,right-handed,25,12,0,37,0.675675676
Dave,Menne,The Warrior,177.8,170,NA,right-handed,44,16,2,62,0.725806452
Steve,Mensing,The Machine,180.34,185,NA,right-handed,7,11,2,20,0.4
Joe,Merritt,Joey Slash,182.88,170,73,right-handed,6,1,0,7,0.857142857
Jeremiah,Metcalf, ,185.42,185,NA,right-handed,13,7,0,20,0.65
Yaotzin,Meza, ,175.26,145,74,right-handed,21,11,0,32,0.65625
Guy,Mezger, ,185.42,200,NA,right-handed,30,14,2,46,0.673913043
David,Michaud,BullDawg,175.26,155,72,right-handed,8,2,0,10,0.8
Chris,Mickle, ,175.26,145,NA,right-handed,28,16,2,46,0.630434783
Kristof,Midoux,The Hurricane,185.42,220,NA,right-handed,6,10,0,16,0.375
Bojan,Mihajlovic, ,180.34,205,73,right-handed,10,6,0,16,0.625
Billy,Miles,The Kid,177.8,170,NA,right-handed,2,2,0,4,0.5
Pat,Miletich,The Croatian Sensation,177.8,170,NA,right-handed,29,7,2,38,0.789473684
Curtis,Millender,Curtious,187.96,170,76,right-handed,16,3,0,19,0.842105263
Phillip,Miller, ,180.34,185,NA,right-handed,16,0,0,16,1
Jason,Miller,Mayhem,185.42,185,72,right-handed,34,10,0,44,0.772727273
Dan,Miller, ,185.42,185,74,right-handed,14,8,0,22,0.636363636
Cole,Miller,Magrinho,185.42,145,74,right-handed,21,11,0,32,0.65625
Micah,Miller,Maverick,182.88,145,NA,right-handed,17,4,0,21,0.80952381
Che,Mills,Beautiful,185.42,170,76,right-handed,15,5,0,20,0.75
Adam,Milstead,The Prototype,190.5,205,76,right-handed,8,2,0,10,0.8
Alberto,Mina,Soldier of God,182.88,170,77,right-handed,13,1,0,14,0.928571429
Ikuhisa,Minowa,Minowaman,175.26,181,NA,right-handed,51,32,8,91,0.604395604
Stipe,Miocic, ,193.04,240,80,right-handed,18,3,0,21,0.857142857
Mario,Miranda, ,190.5,185,74,right-handed,12,3,0,15,0.8
Vitor,Miranda,Lex Luthor,185.42,185,77,right-handed,13,7,0,20,0.65
Damir,Mirenic,Wolf,182.88,185,NA,right-handed,8,4,0,12,0.666666667
Kazuo,Misaki,Hitman,172.72,183,NA,right-handed,24,11,2,37,0.675675676
Felix Lee,Mitchell, ,NA,NA,NA,right-handed,2,7,0,9,0.222222222
David,Mitchell,Daudi,182.88,170,76,right-handed,12,4,0,16,0.75
Danny,Mitchell,The Cheesecake Assassin,187.96,170,74,right-handed,14,6,1,21,0.69047619
Maurice,Mitchell,The AK Kid,175.26,145,NA,right-handed,11,1,0,12,0.916666667
Roman,Mitichyan, ,177.8,170,NA,right-handed,7,3,0,10,0.7
Hiromitsu,Miura, ,175.26,170,71,right-handed,9,6,0,15,0.6
Kazuyuki,Miyata, ,172.72,139,NA,right-handed,11,8,0,19,0.578947368
Takeya,Mizugaki, ,170.18,135,68,right-handed,21,11,2,34,0.647058824
Bobby,Moffett,The Wolfman,177.8,145,74,right-handed,14,3,0,17,0.823529412
Nate,Mohr, ,175.26,155,72,right-handed,9,7,0,16,0.5625
Thiago,Moises, ,175.26,155,70,right-handed,11,3,0,14,0.785714286
Suman,Mokhtarian, ,177.8,145,67,right-handed,8,1,0,9,0.888888889
Rudyard,Moncayo, ,177.8,195,NA,right-handed,0,3,0,3,0
Hidetaka,Monma, ,182.88,168,NA,right-handed,17,10,4,31,0.612903226
Jeff,Monson,The Snowman,175.26,247,74,right-handed,43,12,1,56,0.776785714
Augusto,Montano,Dodger,185.42,170,73,right-handed,15,3,0,18,0.833333333
Erick,Montano,Perry,182.88,170,73,right-handed,8,5,0,13,0.615384615
Homer,Moore,The Rock,177.8,205,NA,right-handed,25,9,2,36,0.722222222
Sergio,Moraes,The Panther,182.88,170,72,right-handed,14,4,1,19,0.763157895
Marlon,Moraes,Magic,167.64,135,67,right-handed,21,5,1,27,0.796296296
John,Moraga,Chicano,167.64,125,66,right-handed,19,7,0,26,0.730769231
Ricardo,Morais,The Mutant,203.2,270,NA,right-handed,10,4,1,15,0.7
Albert,Morales,The Warrior,175.26,135,72,right-handed,7,4,1,12,0.625
Vince,Morales,Vandetta,170.18,135,70,right-handed,8,3,0,11,0.727272727
Christian,Morecraft, ,198.12,260,81,right-handed,7,3,0,10,0.7
Richardson,Moreira,Rick Monstro,187.96,185,72,right-handed,7,4,0,11,0.636363636
Gisele,Moreira,Gi,167.64,135,NA,right-handed,7,3,0,10,0.7
Jesse,Moreng,Arturo,170.18,145,NA,right-handed,9,1,0,10,0.9
Brandon,Moreno,The Assassin Baby,170.18,125,70,right-handed,14,5,0,19,0.736842105
Sammy,Morgan,The Squeeze,177.8,170,NA,right-handed,18,12,0,30,0.6
Alex,Morono,The Great White,180.34,170,72,right-handed,15,5,0,20,0.75
Maryna,Moroz,Iron Lady,170.18,115,67,right-handed,8,3,0,11,0.727272727
Brad,Morris, ,187.96,205,NA,right-handed,10,6,0,16,0.625
Scott,Morris, ,177.8,210,NA,right-handed,2,1,0,3,0.666666667
Anthony,Morrison,Cheesesteak,170.18,145,NA,right-handed,16,10,0,26,0.615384615
Harry,Moskowitz,Dirty,195.58,275,NA,right-handed,6,12,0,18,0.333333333
Gegard,Mousasi, ,187.96,185,76,right-handed,42,6,2,50,0.86
Jamie,Moyle, ,154.94,115,65,right-handed,4,3,0,7,0.571428571
Lauren,Mueller,Princess Tiger,165.1,125,67,right-handed,5,1,0,6,0.833333333
Belal,Muhammad,Remember the Name,180.34,170,72,right-handed,14,2,0,16,0.875
Quinn,Mulhern, ,190.5,155,76,right-handed,18,4,0,22,0.818181818
James,Mulheron,The Juggernaut,177.8,243,73,right-handed,11,2,0,13,0.846153846
Pedro,Munhoz,The Young Punisher,167.64,135,64,right-handed,17,3,0,20,0.85
Mark,Munoz,The Filipino Wrecking Machine,182.88,185,72,right-handed,14,6,0,20,0.7
Kazunari,Murakami, ,185.42,220,NA,right-handed,5,5,0,10,0.5
Ryuichi,Murata, ,172.72,183,NA,right-handed,8,3,1,12,0.708333333
Ian,Murphy, ,185.42,185,NA,right-handed,1,1,0,2,0.5
Jon,Murphy,Man of Faith,190.5,260,NA,right-handed,6,4,0,10,0.6
